stop_id,stop_name
740054572,Arkösund 1
740054573,Arkösund 2
740056369,Arla
740070157,Arla
740010538,Arlanda Brovägen
740014663,Arlanda Cargo City
740000556,Arlanda Centralstation
740010546,Arlanda Driftvägen
740010528,Arlanda Flygskolan
740010537,Arlanda Gränsgatan
740010547,Arlanda Halmsjön
740010531,Arlanda Lindskrog
740000708,Arlanda Norra station
740012894,Arlanda SAS-hangaren
740067392,Arlanda Sky City Terminal 5
740000492,Arlanda Södra station
740020671,Arlanda terminal 2 -3 buss
740033206,Arlanda terminal 4 buss
740043310,Arlanda terminal 5 buss
740010540,Arlanda Versailles
740061103,Arlid
740072400,Arlid södra
740012527,Arlöv Allégatan
740012525,Arlöv Elisetorpsvägen
740012532,Arlöv kyrka
740012524,Arlöv Kyrkogatan
740012526,Arlöv Rapsvägen
740012531,Arlöv Ringvägen
740016532,Arlöv Sockerbitstorget
740034483,Arlöv Strandängen
740044251,Armanbo
740027152,Armasjärvi
740058945,Armasjärvi vägskäl väg 99
740064642,Armaturvägen
740069569,Armaturvägen norra
740069570,Armaturvägen södra
740050952,Armégatan
740067511,Armévägen
740059089,Armlängdsgatan
740065256,Arnabo
740012932,Arnanäs
740037200,Arnanäs
740026633,Arnberg
740072876,Arnebo
740044570,Arnebo (Heby)
740042761,Arnebyn
740035376,Arnegård
740062377,Arnekärr
740072996,Arnemark Arnemarksvägen
740072999,Arnemark Isakstigen väg 374
740072997,Arnemark vsk Sjulsmark väg 374
740045592,Arninge Arningerondellen
740045593,Arninge Hantverkarvägen
740001168,Arninge Kundvägen
740020656,Arninge station
740076292,Arninge station buss
740050393,Arntorp
740060260,Arntorp norra
740060261,Arntorp södra
740065323,Arnungared
740025556,Arnåsholm
740028122,Arnäs församlingshem
740071698,Arnäs Prästgården
740028123,Arnäsrondellen
740028119,Arnäsvall
740029079,Arnäsvall Arnäsvägen
740028118,Arnäsvall Vårdhemsvägen
740035295,Arnäsvägen
740021489,Arnö Flättnaleden
740038720,Arnö gård
